Treatment,Consanguinity,Pref,Trial
High similarity,0.5,0,48
High similarity,0,0.333333333,49
High similarity,0.125,0.4,49
High similarity,0.25,0.3,49
High similarity,0.375,0.25,49
High similarity,0.5,0.333333333,49
High similarity,0,0.75,50
High similarity,0.125,0.5,50
High similarity,0.25,0.571428571,50
High similarity,0.375,0.2,50
High similarity,0.5,0.083333333,50
High similarity,0,0.142857143,51
High similarity,0.125,0.6,51
High similarity,0.25,0.2,51
High similarity,0.375,0.5,51
High similarity,0.5,0.4,51
High similarity,0,0.8,52
High similarity,0.125,0.6,52
High similarity,0.25,0.6,52
High similarity,0.375,0.25,52
High similarity,0.5,0,52
High similarity,0,0.6,53
High similarity,0.125,0.125,53
High similarity,0.25,0.4,53
High similarity,0.375,0.333333333,53
High similarity,0.5,0,53
High similarity,0,0.75,54
High similarity,0.125,0.4,54
High similarity,0.25,0.75,54
High similarity,0.375,0,54
High similarity,0.5,0,54
High similarity,0,0.571428571,55
High similarity,0.125,0.375,55
High similarity,0.25,0.375,55
High similarity,0.375,0.1,55
High similarity,0.5,0.3,55
High similarity,0,0.5,56
High similarity,0.125,0.6,56
High similarity,0.25,0.142857143,56
High similarity,0.375,0,56
High similarity,0.5,0.4,56
High similarity,0,1,57
High similarity,0.125,0.666666667,57
High similarity,0.25,0.333333333,57
High similarity,0.375,0.2,57
High similarity,0.5,0.125,57
High similarity,0,0.5,58
High similarity,0.125,0.4,58
High similarity,0.25,0.5,58
High similarity,0.375,0,58
High similarity,0.5,0.2,58
High similarity,0,0.5,59
High similarity,0.125,0.4,59
High similarity,0.25,0.4,59
High similarity,0.375,0.333333333,59
High similarity,0.5,0,59
High similarity,0,0.6,60
High similarity,0.125,0.5,60
High similarity,0.25,0.5,60
High similarity,0.375,0.5,60
High similarity,0.5,0.333333333,60
High similarity,0,0.8,61
High similarity,0.125,0.2,61
High similarity,0.25,0.333333333,61
High similarity,0.375,0.571428571,61
High similarity,0.5,0.25,61
High similarity,0,0.333333333,62
High similarity,0.125,0.6,62
High similarity,0.25,0.1,62
High similarity,0.375,0.333333333,62
High similarity,0.5,0,62
High similarity,0,0.571428571,63
High similarity,0.125,0.333333333,63
High similarity,0.25,0.333333333,63
High similarity,0.375,0.333333333,63
High similarity,0.5,0,63
High similarity,0,0.5,64
High similarity,0.125,0.25,64
High similarity,0.25,0.2,64
High similarity,0.375,0.333333333,64
High similarity,0.5,0.125,64
High similarity,0,0.714285714,65
High similarity,0.125,0.4,65
High similarity,0.25,0.166666667,65
High similarity,0.375,0,65
High similarity,0.5,0,65
High similarity,0,0.6,66
High similarity,0.125,0.75,66
High similarity,0.25,0.571428571,66
High similarity,0.375,0.5,66
High similarity,0.5,0.333333333,66
High similarity,0,0.666666667,67
High similarity,0.125,0.5,67
High similarity,0.25,0,67
High similarity,0.375,0.333333333,67
High similarity,0.5,0.125,67
High similarity,0,0.666666667,68
High similarity,0.125,0.4,68
High similarity,0.25,0.166666667,68
High similarity,0.375,0.25,68
High similarity,0.5,0,68
High similarity,0,0.25,69
High similarity,0.125,0.666666667,69
High similarity,0.25,0.6,69
High similarity,0.375,0.4,69
High similarity,0.5,0.25,69
High similarity,0,0.4,70
High similarity,0.125,0.25,70
High similarity,0.25,0.4,70
High similarity,0.375,0.2,70
High similarity,0.5,0,70
High similarity,0,0.333333333,71
High similarity,0.125,0.166666667,71
High similarity,0.25,0.3,71
High similarity,0.375,0.4,71
High similarity,0.5,0,71
High similarity,0,0.1,72
High similarity,0.125,0.2,72
High similarity,0.25,0.166666667,72
High similarity,0.375,0.4,72
High similarity,0.5,0.166666667,72
High similarity,0,0.285714286,73
High similarity,0.125,0.4,73
High similarity,0.25,0.4,73
High similarity,0.375,0.333333333,73
High similarity,0.5,0,73
High similarity,0,0.363636364,74
High similarity,0.125,0.25,74
High similarity,0.25,0.4,74
High similarity,0.375,0.2,74
High similarity,0.5,0.1,74
High similarity,0,0.5,75
High similarity,0.125,0.363636364,75
High similarity,0.25,0.6,75
High similarity,0.375,0.333333333,75
High similarity,0.5,0.25,75
High similarity,0,0.4,76
High similarity,0.125,0.4,76
High similarity,0.25,0.25,76
High similarity,0.375,1,76
High similarity,0.5,0.4,76
High similarity,0,0.75,77
High similarity,0.125,0.5,77
High similarity,0.25,0.5,77
High similarity,0.375,0.333333333,77
High similarity,0.5,0,77
High similarity,0,0.6,78
High similarity,0.125,0.25,78
High similarity,0.25,0.25,78
High similarity,0.375,0.125,78
High similarity,0.5,0.2,78
High similarity,0,0.625,79
High similarity,0.125,0.25,79
High similarity,0.25,0.5,79
High similarity,0.375,0,79
High similarity,0.5,0.333333333,79
High similarity,0,0.4,80
High similarity,0.125,0.5,80
High similarity,0.25,0.2,80
High similarity,0.375,0,80
High similarity,0.5,0.75,80
High variance,0,0.3,81
High variance,0.125,0.272727273,81
High variance,0.25,0.666666667,81
High variance,0.375,0.272727273,81
High variance,0.5,0.166666667,81
High variance,0,0,82
High variance,0.125,0.333333333,82
High variance,0.25,0.5,82
High variance,0.375,0.333333333,82
High variance,0.5,0.3,82
High variance,0,0.65,83
High variance,0.125,0.6,83
High variance,0.25,0.3,83
High variance,0.375,0.272727273,83
High variance,0.5,0.5,83
High variance,0,0.375,84
High variance,0.125,0.5,84
High variance,0.25,0.25,84
High variance,0.375,0.25,84
High variance,0.5,0.125,84
High variance,0,0.375,85
High variance,0.125,0.4,85
High variance,0.25,0.3,85
High variance,0.375,0.4,85
High variance,0.5,0.166666667,85
High variance,0,0.333333333,86
High variance,0.125,0.166666667,86
High variance,0.25,0.125,86
High variance,0.375,0.333333333,86
High variance,0.5,0.4,86
High variance,0,0.333333333,87
High variance,0.125,0.333333333,87
High variance,0.25,0.333333333,87
High variance,0.375,0.4,87
High variance,0.5,0.125,87
High variance,0,0.2,88
High variance,0.125,0.5,88
High variance,0.25,0.3,88
High variance,0.375,0.2,88
High variance,0.5,0.125,88
High variance,0,0.2,89
High variance,0.125,0.8,89
High variance,0.25,0.333333333,89
High variance,0.375,0.25,89
High variance,0.5,0.125,89
High variance,0,0.375,90
High variance,0.125,0.25,90
High variance,0.25,0.25,90
High variance,0.375,0.4,90
High variance,0.5,0.166666667,90
High variance,0,0.25,91
High variance,0.125,0.333333333,91
High variance,0.25,0.142857143,91
High variance,0.375,0.125,91
High variance,0.5,0.7,91
High variance,0,0.25,92
High variance,0.125,0.4,92
High variance,0.25,0.25,92
High variance,0.375,0.25,92
High variance,0.5,0.2,92
High variance,0,0.2,93
High variance,0.125,0.333333333,93
High variance,0.25,0.2,93
High variance,0.375,0.2,93
High variance,0.5,0.1,93
High variance,0,0.125,94
High variance,0.125,0.5,94
High variance,0.25,0.25,94
High variance,0.375,0.4,94
High variance,0.5,0.1,94
High variance,0,0.25,95
High variance,0.125,0.428571429,95
High variance,0.25,0.2,95
High variance,0.375,0.125,95
High variance,0.5,0.2,95
High variance,0,0.4,96
High variance,0.125,0.25,96
High variance,0.25,0.333333333,96
High variance,0.375,0.2,96
High variance,0.5,0.125,96
High variance,0,0.5,97
High variance,0.125,0.375,97
High variance,0.25,0.25,97
High variance,0.375,0.333333333,97
High variance,0.5,0.125,97
High variance,0,0.5,98
High variance,0.125,0.333333333,98
High variance,0.25,0.25,98
High variance,0.375,0.333333333,98
High variance,0.5,0.1,98
High variance,0,0.333333333,99
High variance,0.125,0.3,99
High variance,0.25,0.125,99
High variance,0.375,0.125,99
High variance,0.5,0.5,99
High variance,0,0.25,100
High variance,0.125,0.166666667,100
High variance,0.25,0.333333333,100
High variance,0.375,0.2,100
High variance,0.5,0.166666667,100
High variance,0,0.4,101
High variance,0.125,0.2,101
High variance,0.25,0.4,101
High variance,0.375,0.1,101
High variance,0.5,0,101
High variance,0,0.25,102
High variance,0.125,0.333333333,102
High variance,0.25,0.333333333,102
High variance,0.375,0.2,102
High variance,0.5,0,102
High variance,0,0.333333333,103
High variance,0.125,0.25,103
High variance,0.25,0.25,103
High variance,0.375,0.2,103
High variance,0.5,0.166666667,103
High variance,0,0.5,104
High variance,0.125,0.4,104
High variance,0.25,0.2,104
High variance,0.375,0.125,104
High variance,0.5,0,104
High variance,0,0.4,105
High variance,0.125,0.125,105
High variance,0.25,0.1,105
High variance,0.375,0.1,105
High variance,0.5,0.125,105
High variance,0,0.125,106
High variance,0.125,0.4,106
High variance,0.25,0.6,106
High variance,0.375,0.4,106
High variance,0.5,0.4,106
High variance,0,0.333333333,107
High variance,0.125,0.2,107
High variance,0.25,0.166666667,107
High variance,0.375,0.125,107
High variance,0.5,0.2,107
High variance,0,0.4,108
High variance,0.125,0.222222222,108
High variance,0.25,0.2,108
High variance,0.375,0,108
High variance,0.5,0,108
High variance,0,0.25,109
High variance,0.125,0.25,109
High variance,0.25,0.2,109
High variance,0.375,0.2,109
High variance,0.5,0,109
High variance,0,0.2,110
High variance,0.125,0.4,110
High variance,0.25,0.25,110
High variance,0.375,0.2,110
High variance,0.5,0.333333333,110
High variance,0,0.4,111
High variance,0.125,0.5,111
High variance,0.25,0.166666667,111
High variance,0.375,0.333333333,111
High variance,0.5,0,111
High variance,0,0.4,112
High variance,0.125,0.5,112
High variance,0.25,0.2,112
High variance,0.375,0,112
High variance,0.5,0.333333333,112
High variance,0,0.25,113
High variance,0.125,0.25,113
High variance,0.25,0.111111111,113
High variance,0.375,0,113
High variance,0.5,0.333333333,113
High variance,0,0.2,114
High variance,0.125,0.6,114
High variance,0.25,0.25,114
High variance,0.375,0.142857143,114
High variance,0.5,0,114
High variance,0,0.25,115
High variance,0.125,0.333333333,115
High variance,0.25,0.1,115
High variance,0.375,0,115
High variance,0.5,0.125,115
High variance,0,0.285714286,116
High variance,0.125,0.3,116
High variance,0.25,0.125,116
High variance,0.375,0.2,116
High variance,0.5,0.2,116
High variance,0,0.375,117
High variance,0.125,0.5,117
High variance,0.25,0.4,117
High variance,0.375,0,117
High variance,0.5,0.45,117
High variance,0,0.6,118
High variance,0.125,0.2,118
High variance,0.25,0.375,118
High variance,0.375,0.2,118
High variance,0.5,0.333333333,118
High variance,0,0.5,119
High variance,0.125,0,119
High variance,0.25,0.571428571,119
High variance,0.375,0.083333333,119
High variance,0.5,0,119
High variance,0,0.4,120
High variance,0.125,0.333333333,120
High variance,0.25,0.2,120
High variance,0.375,0.2,120
High variance,0.5,0.25,120
