Trial,Treatment,Consanguinity,Inter
57,High similarity,0.5,0
58,High similarity,0,30
58,High similarity,0.125,19
58,High similarity,0.25,0
58,High similarity,0.375,15
58,High similarity,0.5,1
59,High similarity,0,22
59,High similarity,0.125,26
59,High similarity,0.25,8
59,High similarity,0.375,17
59,High similarity,0.5,1
60,High similarity,0,18
60,High similarity,0.125,11
60,High similarity,0.25,31
60,High similarity,0.375,20
60,High similarity,0.5,21
61,High similarity,0,10
61,High similarity,0.125,9
61,High similarity,0.25,10
61,High similarity,0.375,4
61,High similarity,0.5,11
62,High similarity,0,44
62,High similarity,0.125,25
62,High similarity,0.25,42
62,High similarity,0.375,2
62,High similarity,0.5,1
63,High similarity,0,19
63,High similarity,0.125,28
63,High similarity,0.25,9
63,High similarity,0.375,14
63,High similarity,0.5,1
64,High similarity,0,20
64,High similarity,0.125,20
64,High similarity,0.25,8
64,High similarity,0.375,3
64,High similarity,0.5,0
65,High similarity,0,19
65,High similarity,0.125,16
65,High similarity,0.25,16
65,High similarity,0.375,3
65,High similarity,0.5,10
66,High similarity,0,25
66,High similarity,0.125,17
66,High similarity,0.25,16
66,High similarity,0.375,15
66,High similarity,0.5,10
67,High similarity,0,20
67,High similarity,0.125,17
67,High similarity,0.25,9
67,High similarity,0.375,3
67,High similarity,0.5,2
68,High similarity,0,22
68,High similarity,0.125,26
68,High similarity,0.25,11
68,High similarity,0.375,16
68,High similarity,0.5,1
69,High similarity,0,16
69,High similarity,0.125,17
69,High similarity,0.25,17
69,High similarity,0.375,19
69,High similarity,0.5,10
70,High similarity,0,19
70,High similarity,0.125,21
70,High similarity,0.25,16
70,High similarity,0.375,4
70,High similarity,0.5,0
71,High similarity,0,23
71,High similarity,0.125,26
71,High similarity,0.25,37
71,High similarity,0.375,3
71,High similarity,0.5,1
72,High similarity,0,18
72,High similarity,0.125,21
72,High similarity,0.25,12
72,High similarity,0.375,19
72,High similarity,0.5,13
73,High similarity,0,20
73,High similarity,0.125,30
73,High similarity,0.25,6
73,High similarity,0.375,4
73,High similarity,0.5,1
74,High similarity,0,30
74,High similarity,0.125,24
74,High similarity,0.25,11
74,High similarity,0.375,3
74,High similarity,0.5,1
75,High similarity,0,22
75,High similarity,0.125,17
75,High similarity,0.25,17
75,High similarity,0.375,4
75,High similarity,0.5,10
76,High similarity,0,20
76,High similarity,0.125,18
76,High similarity,0.25,0
76,High similarity,0.375,15
76,High similarity,0.5,12
77,High similarity,0,22
77,High similarity,0.125,17
77,High similarity,0.25,12
77,High similarity,0.375,18
77,High similarity,0.5,15
78,High similarity,0,21
78,High similarity,0.125,19
78,High similarity,0.25,13
78,High similarity,0.375,5
78,High similarity,0.5,12
79,High similarity,0,5
79,High similarity,0.125,13
79,High similarity,0.25,16
79,High similarity,0.375,14
79,High similarity,0.5,23
80,High similarity,0,34
80,High similarity,0.125,17
80,High similarity,0.25,14
80,High similarity,0.375,2
80,High similarity,0.5,0
81,High variance,0,26
81,High variance,0.125,11
81,High variance,0.25,7
81,High variance,0.375,4
81,High variance,0.5,8
82,High variance,0,4
82,High variance,0.125,15
82,High variance,0.25,7
82,High variance,0.375,4
82,High variance,0.5,11
83,High variance,0,23
83,High variance,0.125,27
83,High variance,0.25,18
83,High variance,0.375,6
83,High variance,0.5,10
84,High variance,0,23
84,High variance,0.125,24
84,High variance,0.25,7
84,High variance,0.375,15
84,High variance,0.5,10
85,High variance,0,32
85,High variance,0.125,9
85,High variance,0.25,7
85,High variance,0.375,3
85,High variance,0.5,8
86,High variance,0,23
86,High variance,0.125,6
86,High variance,0.25,16
86,High variance,0.375,4
86,High variance,0.5,9
87,High variance,0,5
87,High variance,0.125,8
87,High variance,0.25,7
87,High variance,0.375,12
87,High variance,0.5,5
88,High variance,0,8
88,High variance,0.125,7
88,High variance,0.25,7
88,High variance,0.375,11
88,High variance,0.5,5
89,High variance,0,5
89,High variance,0.125,3
89,High variance,0.25,6
89,High variance,0.375,1
89,High variance,0.5,5
90,High variance,0,24
90,High variance,0.125,28
90,High variance,0.25,5
90,High variance,0.375,0
90,High variance,0.5,5
91,High variance,0,18
91,High variance,0.125,12
91,High variance,0.25,7
91,High variance,0.375,1
91,High variance,0.5,4
92,High variance,0,6
92,High variance,0.125,25
92,High variance,0.25,2
92,High variance,0.375,11
92,High variance,0.5,6
93,High variance,0,18
93,High variance,0.125,8
93,High variance,0.25,6
93,High variance,0.375,2
93,High variance,0.5,7
94,High variance,0,3
94,High variance,0.125,7
94,High variance,0.25,25
94,High variance,0.375,10
94,High variance,0.5,7
95,High variance,0,21
95,High variance,0.125,23
95,High variance,0.25,16
95,High variance,0.375,2
95,High variance,0.5,6
96,High variance,0,5
96,High variance,0.125,7
96,High variance,0.25,16
96,High variance,0.375,12
96,High variance,0.5,5
97,High variance,0,19
97,High variance,0.125,26
97,High variance,0.25,6
97,High variance,0.375,4
97,High variance,0.5,3
98,High variance,0,22
98,High variance,0.125,7
98,High variance,0.25,5
98,High variance,0.375,16
98,High variance,0.5,4
99,High variance,0,4
99,High variance,0.125,7
99,High variance,0.25,4
99,High variance,0.375,13
99,High variance,0.5,8
100,High variance,0,20
100,High variance,0.125,26
100,High variance,0.25,5
100,High variance,0.375,16
100,High variance,0.5,17
101,High variance,0,23
101,High variance,0.125,8
101,High variance,0.25,19
101,High variance,0.375,14
101,High variance,0.5,7
102,High variance,0,7
102,High variance,0.125,22
102,High variance,0.25,7
102,High variance,0.375,0
102,High variance,0.5,2
103,High variance,0,15
103,High variance,0.125,6
103,High variance,0.25,5
103,High variance,0.375,2
103,High variance,0.5,4
104,High variance,0,6
104,High variance,0.125,9
104,High variance,0.25,17
104,High variance,0.375,13
104,High variance,0.5,2
105,High variance,0,9
105,High variance,0.125,20
105,High variance,0.25,6
105,High variance,0.375,4
105,High variance,0.5,3
106,High variance,0,8
106,High variance,0.125,9
106,High variance,0.25,3
106,High variance,0.375,3
106,High variance,0.5,4
107,High variance,0,4
107,High variance,0.125,9
107,High variance,0.25,1
107,High variance,0.375,1
107,High variance,0.5,4
108,High variance,0,19
108,High variance,0.125,27
108,High variance,0.25,6
108,High variance,0.375,13
108,High variance,0.5,9
109,High variance,0,21
109,High variance,0.125,18
109,High variance,0.25,7
109,High variance,0.375,18
109,High variance,0.5,5
110,High variance,0,5
110,High variance,0.125,9
110,High variance,0.25,19
110,High variance,0.375,2
110,High variance,0.5,3
111,High variance,0,3
111,High variance,0.125,19
111,High variance,0.25,7
111,High variance,0.375,2
111,High variance,0.5,9
112,High variance,0,18
112,High variance,0.125,22
112,High variance,0.25,16
112,High variance,0.375,16
112,High variance,0.5,8
113,High variance,0,18
113,High variance,0.125,25
113,High variance,0.25,21
113,High variance,0.375,1
113,High variance,0.5,8
114,High variance,0,21
114,High variance,0.125,4
114,High variance,0.25,18
114,High variance,0.375,3
114,High variance,0.5,10
115,High variance,0,3
115,High variance,0.125,21
115,High variance,0.25,20
115,High variance,0.375,15
115,High variance,0.5,7
116,High variance,0,21
116,High variance,0.125,7
116,High variance,0.25,19
116,High variance,0.375,2
116,High variance,0.5,6
117,High variance,0,20
117,High variance,0.125,7
117,High variance,0.25,5
117,High variance,0.375,1
117,High variance,0.5,8
118,High variance,0,17
118,High variance,0.125,4
118,High variance,0.25,5
118,High variance,0.375,3
118,High variance,0.5,7
119,High variance,0,6
119,High variance,0.125,21
119,High variance,0.25,21
119,High variance,0.375,13
119,High variance,0.5,3
120,High variance,0,6
120,High variance,0.125,6
120,High variance,0.25,19
120,High variance,0.375,2
120,High variance,0.5,5
